coo_number,coo_date,year,period,quarter,month,quarteryear,status,permit,permit_type,permit_subtype,permit_date,zip,rdus,50+units,project_type,stories,tract,coord
106465,8/14/2013,2013,2013-17,Q3,8,Q3 2013,CofO Issued,09014-10000-03920,Bldg-Addition,Commercial,8/14/2013,90026,1,No,1 unit,2,1958.02,"(34.07807, -118.27889)"
109211,8/15/2013,2013,2013-17,Q3,8,Q3 2013,CofO Issued,12014-10000-03929,Bldg-Addition,1 or 2 Family Dwelling,8/15/2013,90062,1,No,1 unit,0,2323,"(33.99728, -118.30441)"
101641,8/19/2013,2013,2013-17,Q3,8,Q3 2013,CofO Issued,11014-20000-04408,Bldg-Addition,1 or 2 Family Dwelling,8/19/2013,91335,1,No,1 unit,2,1317.01,"(34.20348, -118.55378)"
48347,8/29/2013,2013,2013-17,Q3,8,Q3 2013,CofO Issued,06014-70000-06608,Bldg-Addition,1 or 2 Family Dwelling,8/29/2013,90003,1,No,1 unit,2,2405,"(33.94929, -118.27611)"
110806,9/12/2013,2013,2013-17,Q3,9,Q3 2013,CofO Issued,12014-20000-03262,Bldg-Addition,1 or 2 Family Dwelling,9/12/2013,91331,1,No,1 unit,0,1197,"(34.22821, -118.42051)"
111006,9/18/2013,2013,2013-17,Q3,9,Q3 2013,CofO Issued,12014-10000-03079,Bldg-Addition,1 or 2 Family Dwelling,9/18/2013,90003,1,No,1 unit,2,2395.02,"(33.97118, -118.26888)"
110134,9/18/2013,2013,2013-17,Q3,9,Q3 2013,CofO Issued,13014-40000-00058,Bldg-Addition,1 or 2 Family Dwelling,9/18/2013,91325,1,No,1 unit,0,1152.02,"(34.23527, -118.53125)"
107833,9/24/2013,2013,2013-17,Q3,9,Q3 2013,CofO Corrected,12014-70000-02653,Bldg-Addition,1 or 2 Family Dwelling,3/17/2014,90059,1,No,1 unit,0,2409,
105887,10/1/2013,2013,2013-17,Q4,10,Q4 2013,CofO Issued,12016-10000-06830,Bldg-Addition,1 or 2 Family Dwelling,10/1/2013,90004,1,No,1 unit,1,1924.1,"(34.08245, -118.31884)"
96804,10/3/2013,2013,2013-17,Q4,10,Q4 2013,CofO Issued,10014-10000-04845,Bldg-Addition,1 or 2 Family Dwelling,10/3/2013,91364,1,No,1 unit,1,1374.01,"(34.16473, -118.6124)"
104405,10/7/2013,2013,2013-17,Q4,10,Q4 2013,CofO Issued,09010-10000-02350,Bldg-Addition,1 or 2 Family Dwelling,10/7/2013,90006,1,No,1 unit,1,2212.1,"(34.04617, -118.30156)"
73391,10/8/2013,2013,2013-17,Q4,10,Q4 2013,CofO Issued,08014-20000-05688,Bldg-Addition,Apartment,10/8/2013,91601,1,No,1 unit,1,1242.02,"(34.17382, -118.3729)"
87176,10/29/2013,2013,2013-17,Q4,10,Q4 2013,CofO Issued,10010-20000-00799,Bldg-Addition,1 or 2 Family Dwelling,10/29/2013,90016,1,No,1 unit,1,2198,"(34.0289, -118.35658)"
101397,11/1/2013,2013,2013-17,Q4,11,Q4 2013,CofO Issued,10014-20000-02596,Bldg-Addition,1 or 2 Family Dwelling,11/1/2013,90291,1,No,1 unit,2,2732,"(34.00032, -118.47231)"
113054,11/6/2013,2013,2013-17,Q4,11,Q4 2013,CofO Issued,13014-10000-01766,Bldg-Addition,1 or 2 Family Dwelling,11/6/2013,90042,1,No,1 unit,1,1837.02,"(34.10408, -118.18676)"
112436,12/4/2013,2013,2013-17,Q4,12,Q4 2013,CofO Issued,13014-40000-00805,Bldg-Addition,1 or 2 Family Dwelling,12/4/2013,91303,1,No,1 unit,1,1345.22,"(34.20428, -118.59922)"
100087,12/5/2013,2013,2013-17,Q4,12,Q4 2013,CofO Issued,11014-20000-01721,Bldg-Addition,1 or 2 Family Dwelling,12/5/2013,91343,1,No,1 unit,1,1174.04,"(34.23483, -118.47658)"
113505,12/11/2013,2013,2013-17,Q4,12,Q4 2013,CofO Issued,12014-20000-04644,Bldg-Addition,1 or 2 Family Dwelling,12/11/2013,90044,1,No,1 unit,2,2371.01,"(33.98247, -118.29494)"
109717,12/18/2013,2013,2013-17,Q4,12,Q4 2013,CofO Issued,12014-30000-03920,Bldg-Addition,1 or 2 Family Dwelling,12/18/2013,90004,1,No,1 unit,0,1925.1,"(34.08023, -118.30562)"
113679,12/19/2013,2013,2013-17,Q4,12,Q4 2013,CofO Corrected,13014-20000-01476,Bldg-Addition,Apartment,5/22/2014,90003,1,No,1 unit,1,2383.1,"(33.9641, -118.28296)"
109959,12/23/2013,2013,2013-17,Q4,12,Q4 2013,CofO Corrected,12014-20002-03309,Bldg-Addition,Apartment,1/15/2015,91606,1,No,1 unit,1,1241.05,"(34.17964, -118.38535)"
105769,12/27/2013,2013,2013-17,Q4,12,Q4 2013,CofO Issued,11014-30000-04563,Bldg-Addition,1 or 2 Family Dwelling,12/27/2013,90008,1,No,1 unit,2,2732,"(33.99639, -118.46568)"
108417,1/10/2014,2014,2013-17,Q1,1,Q1 2014,CofO Corrected,09014-10000-04236,Bldg-Addition,1 or 2 Family Dwelling,1/14/2014,90019,1,No,1 unit,3,2213.04,"(34.04613, -118.31471)"
116374,1/13/2014,2014,2013-17,Q1,1,Q1 2014,CofO Issued,13014-20000-00777,Bldg-Addition,1 or 2 Family Dwelling,1/13/2014,90031,1,No,1 unit,2,1997,"(34.07061, -118.21588)"
110651,1/15/2014,2014,2013-17,Q1,1,Q1 2014,CofO Issued,12014-20000-04389,Bldg-Addition,1 or 2 Family Dwelling,1/15/2014,91335,1,No,1 unit,1,1331,"(34.18914, -118.53936)"
109133,1/16/2014,2014,2013-17,Q1,1,Q1 2014,CofO Issued,12014-30000-03314,Bldg-Addition,1 or 2 Family Dwelling,1/16/2014,90291,1,No,1 unit,2,2734.02,"(33.98989, -118.47563)"
26496,1/22/2014,2014,2013-17,Q1,1,Q1 2014,CofO Issued,05014-70000-10546,Bldg-Addition,Apartment,1/22/2014,90016,1,No,1 unit,2,2199,"(34.02779, -118.36562)"
117784,1/27/2014,2014,2013-17,Q1,1,Q1 2014,CofO Issued,13016-30000-18943,Bldg-Addition,1 or 2 Family Dwelling,1/27/2014,91364,1,No,1 unit,1,1375.02,"(34.1643, -118.59246)"
115128,1/30/2014,2014,2013-17,Q1,1,Q1 2014,CofO Issued,13014-20000-02183,Bldg-Addition,1 or 2 Family Dwelling,1/30/2014,91331,1,No,1 unit,1,1043.1,"(34.27672, -118.4252)"
114266,2/6/2014,2014,2013-17,Q1,2,Q1 2014,CofO Issued,13014-20000-01804,Bldg-Addition,1 or 2 Family Dwelling,2/6/2014,90025,1,No,1 unit,1,2676,"(34.03559, -118.45314)"
110475,2/6/2014,2014,2013-17,Q1,2,Q1 2014,CofO Issued,12014-10000-04676,Bldg-Addition,1 or 2 Family Dwelling,2/6/2014,90731,1,No,1 unit,2,2962.1,"(33.74432, -118.28722)"
115545,2/6/2014,2014,2013-17,Q1,2,Q1 2014,CofO Issued,13014-70000-02778,Bldg-Addition,1 or 2 Family Dwelling,2/6/2014,90061,1,No,1 unit,0,2410.01,"(33.92904, -118.27029)"
113140,2/11/2014,2014,2013-17,Q1,2,Q1 2014,CofO Issued,12014-20000-04612,Bldg-Addition,1 or 2 Family Dwelling,2/11/2014,91335,1,No,1 unit,1,1330,
114402,2/11/2014,2014,2013-17,Q1,2,Q1 2014,CofO Issued,12014-10000-03846,Bldg-Addition,1 or 2 Family Dwelling,2/11/2014,91306,1,No,1 unit,1,1134.22,"(34.22249, -118.57527)"
113494,2/21/2014,2014,2013-17,Q1,2,Q1 2014,CofO Issued,13014-10000-00715,Bldg-Addition,1 or 2 Family Dwelling,2/21/2014,91325,1,No,1 unit,1,1154.03,"(34.22198, -118.53119)"
100935,2/21/2014,2014,2013-17,Q1,2,Q1 2014,CofO Issued,11014-10000-03138,Bldg-Addition,1 or 2 Family Dwelling,2/21/2014,90044,1,No,1 unit,2,2377.1,"(33.97085, -118.28849)"
74556,3/3/2014,2014,2013-17,Q1,3,Q1 2014,CofO Issued,08014-10000-03313,Bldg-Addition,1 or 2 Family Dwelling,3/3/2014,90039,1,No,1 unit,2,1955,"(34.0916, -118.26269)"
115810,3/4/2014,2014,2013-17,Q1,3,Q1 2014,CofO Corrected,13014-20000-02791,Bldg-Addition,1 or 2 Family Dwelling,8/11/2016,91331,1,No,1 unit,0,1048.21,"(34.24594, -118.41546)"
121338,3/8/2014,2014,2013-17,Q1,3,Q1 2014,CofO Issued,02014-10000-03719,Bldg-Addition,Apartment,3/8/2014,90006,1,No,1 unit,2,2132.02,"(34.04967, -118.30727)"
98571,3/8/2014,2014,2013-17,Q1,3,Q1 2014,CofO Issued,11014-10000-02741,Bldg-Addition,Apartment,3/8/2014,90011,1,No,1 unit,0,2286,"(34.00745, -118.25669)"
115260,3/20/2014,2014,2013-17,Q1,3,Q1 2014,CofO Issued,13014-20000-02206,Bldg-Addition,1 or 2 Family Dwelling,3/20/2014,91040,1,No,1 unit,2,1034,"(34.25683, -118.32375)"
107046,3/25/2014,2014,2013-17,Q1,3,Q1 2014,CofO Corrected,12014-70000-01914,Bldg-Addition,1 or 2 Family Dwelling,4/1/2014,90003,1,No,1 unit,2,2395.01,"(33.97309, -118.26841)"
98013,3/28/2014,2014,2013-17,Q1,3,Q1 2014,CofO Issued,11014-20000-02428,Bldg-Addition,1 or 2 Family Dwelling,3/28/2014,91352,1,No,1 unit,0,1230.2,"(34.20697, -118.36364)"
99982,4/3/2014,2014,2013-17,Q2,4,Q2 2014,CofO Issued,11014-10000-02519,Bldg-Addition,1 or 2 Family Dwelling,4/3/2014,91335,1,No,1 unit,2,1310.2,"(34.19701, -118.53746)"
110676,4/9/2014,2014,2013-17,Q2,4,Q2 2014,CofO Issued,12010-10000-01419,Bldg-Addition,1 or 2 Family Dwelling,4/9/2014,90027,1,No,1 unit,2,1952.02,"(34.10234, -118.28509)"
118687,4/17/2014,2014,2013-17,Q2,4,Q2 2014,CofO Issued,13014-70000-02925,Bldg-Addition,1 or 2 Family Dwelling,4/17/2014,90011,1,No,1 unit,1,2270.2,"(34.01511, -118.24979)"
111977,4/22/2014,2014,2013-17,Q2,4,Q2 2014,CofO Issued,13014-10000-00809,Bldg-Addition,Apartment,4/22/2014,90068,1,No,1 unit,2,1895,"(34.10673, -118.32151)"
116221,4/25/2014,2014,2013-17,Q2,4,Q2 2014,CofO Corrected,13014-20000-02929,Bldg-Addition,1 or 2 Family Dwelling,5/6/2014,90026,1,No,1 unit,2,1954,"(34.09083, -118.27356)"
80273,4/30/2014,2014,2013-17,Q2,4,Q2 2014,CofO Issued,09014-30000-01969,Bldg-Addition,1 or 2 Family Dwelling,4/30/2014,91601,1,No,1 unit,1,1242.02,"(34.17679, -118.37786)"
118553,5/9/2014,2014,2013-17,Q2,5,Q2 2014,CofO Issued,13014-20000-04080,Bldg-Addition,1 or 2 Family Dwelling,5/9/2014,90037,1,No,1 unit,2,2316,"(34.01067, -118.29858)"
114960,5/14/2014,2014,2013-17,Q2,5,Q2 2014,CofO Issued,12014-20000-04231,Bldg-Addition,1 or 2 Family Dwelling,5/14/2014,90039,1,No,1 unit,2,1883,"(34.11535, -118.2652)"
116999,5/21/2014,2014,2013-17,Q2,5,Q2 2014,CofO Issued,13010-10000-01697,Bldg-Addition,1 or 2 Family Dwelling,5/21/2014,90011,1,No,1 unit,2,2287.1,"(33.99903, -118.25531)"
110371,6/3/2014,2014,2013-17,Q2,6,Q2 2014,CofO Issued,12014-10000-03126,Bldg-Addition,1 or 2 Family Dwelling,6/3/2014,90006,1,No,1 unit,1,2132.02,"(34.04947, -118.30509)"
109383,6/5/2014,2014,2013-17,Q2,6,Q2 2014,CofO Issued,12014-20000-02575,Bldg-Addition,Apartment,6/5/2014,90057,1,No,1 unit,2,2088.02,"(34.06286, -118.27685)"
115485,6/6/2014,2014,2013-17,Q2,6,Q2 2014,CofO Corrected,13014-20000-00240,Bldg-Addition,1 or 2 Family Dwelling,6/10/2014,90041,1,No,1 unit,1,1832.22,"(34.13265, -118.19851)"
106657,6/13/2014,2014,2013-17,Q2,6,Q2 2014,CofO Issued,11016-20000-24884,Bldg-Addition,1 or 2 Family Dwelling,6/13/2014,90038,1,No,1 unit,1,1919.02,"(34.08592, -118.34265)"
110308,6/16/2014,2014,2013-17,Q2,6,Q2 2014,CofO Issued,12014-20000-03616,Bldg-Addition,1 or 2 Family Dwelling,6/16/2014,91311,1,No,1 unit,2,1133.22,
111571,6/24/2014,2014,2013-17,Q2,6,Q2 2014,CofO Issued,13010-20000-00047,Bldg-Addition,1 or 2 Family Dwelling,6/24/2014,90044,1,No,1 unit,1,2911.1,"(33.92239, -118.28361)"
112663,7/3/2014,2014,2013-17,Q3,7,Q3 2014,CofO Issued,13014-10000-00859,Bldg-Addition,1 or 2 Family Dwelling,7/3/2014,90018,1,No,1 unit,0,2225,"(34.02264, -118.30281)"
117588,7/10/2014,2014,2013-17,Q3,7,Q3 2014,CofO Corrected,13014-20000-03486,Bldg-Addition,1 or 2 Family Dwelling,1/28/2016,91303,1,No,1 unit,1,1340.01,
113622,7/14/2014,2014,2013-17,Q3,7,Q3 2014,CofO Issued,13016-20000-01145,Bldg-Addition,1 or 2 Family Dwelling,7/14/2014,91325,1,No,1 unit,1,1154.01,"(34.22475, -118.50603)"
117885,7/15/2014,2014,2013-17,Q3,7,Q3 2014,CofO Issued,13010-10000-02704,Bldg-Addition,1 or 2 Family Dwelling,7/15/2014,90003,1,No,1 unit,1,2376,"(33.97827, -118.28209)"
116746,7/17/2014,2014,2013-17,Q3,7,Q3 2014,CofO Issued,13014-20000-03510,Bldg-Addition,1 or 2 Family Dwelling,7/17/2014,91331,1,No,1 unit,0,1044.03,"(34.26018, -118.43632)"
119819,7/18/2014,2014,2013-17,Q3,7,Q3 2014,CofO Issued,13014-20000-04542,Bldg-Addition,1 or 2 Family Dwelling,7/18/2014,91601,1,No,1 unit,1,1255.01,"(34.16343, -118.36696)"
115151,7/22/2014,2014,2013-17,Q3,7,Q3 2014,CofO Issued,13014-20000-01902,Bldg-Addition,1 or 2 Family Dwelling,7/22/2014,90291,1,No,1 unit,2,2736,
21540,7/24/2014,2014,2013-17,Q3,7,Q3 2014,CofO Issued,05014-20000-07907,Bldg-Addition,1 or 2 Family Dwelling,7/24/2014,91606,1,No,1 unit,2,1238,"(34.18012, -118.39749)"
107792,7/28/2014,2014,2013-17,Q3,7,Q3 2014,CofO Issued,12014-20000-01874,Bldg-Addition,Apartment,7/28/2014,91406,1,No,1 unit,2,1321.01,"(34.18684, -118.4915)"
95805,7/28/2014,2014,2013-17,Q3,7,Q3 2014,CofO Issued,10014-20000-02592,Bldg-Addition,1 or 2 Family Dwelling,7/28/2014,90019,1,No,1 unit,2,2128,"(34.054, -118.33026)"
120469,7/28/2014,2014,2013-17,Q3,7,Q3 2014,CofO Issued,13014-10000-04090,Bldg-Addition,1 or 2 Family Dwelling,7/28/2014,90016,1,No,1 unit,2,2198,"(34.03122, -118.35671)"
98041,8/2/2014,2014,2013-17,Q3,8,Q3 2014,CofO Issued,11014-20000-02394,Bldg-Addition,1 or 2 Family Dwelling,8/2/2014,91367,1,No,1 unit,2,1372.01,"(34.17721, -118.62116)"
104339,8/6/2014,2014,2013-17,Q3,8,Q3 2014,CofO Issued,12014-20000-00501,Bldg-Addition,1 or 2 Family Dwelling,8/6/2014,91344,1,No,1 unit,1,1111,
117135,8/7/2014,2014,2013-17,Q3,8,Q3 2014,CofO Issued,13016-10000-09000,Bldg-Addition,Apartment,8/7/2014,90026,1,No,1 unit,3,1955,"(34.09013, -118.26569)"
119378,8/11/2014,2014,2013-17,Q3,8,Q3 2014,CofO Issued,12014-20000-02508,Bldg-Addition,Apartment,8/11/2014,91602,1,No,1 unit,2,1432,"(34.15243, -118.37878)"
121035,8/12/2014,2014,2013-17,Q3,8,Q3 2014,CofO Issued,14014-20000-00173,Bldg-Addition,1 or 2 Family Dwelling,8/12/2014,91340,1,No,1 unit,1,1042.01,"(34.28616, -118.41666)"
117857,8/19/2014,2014,2013-17,Q3,8,Q3 2014,CofO Issued,13016-10000-06371,Bldg-Addition,1 or 2 Family Dwelling,8/19/2014,90029,1,No,1 unit,2,1954,"(34.09442, -118.27821)"
123677,8/25/2014,2014,2013-17,Q3,8,Q3 2014,CofO Issued,14014-20000-00810,Bldg-Addition,1 or 2 Family Dwelling,8/25/2014,90501,1,No,1 unit,1,2932.01,"(33.82783, -118.3084)"
124864,9/5/2014,2014,2013-17,Q3,9,Q3 2014,CofO Issued,14016-70000-02762,Bldg-Addition,1 or 2 Family Dwelling,9/5/2014,91325,1,No,1 unit,0,1151.01,
92081,9/9/2014,2014,2013-17,Q3,9,Q3 2014,CofO Issued,10016-30000-15178,Bldg-Addition,1 or 2 Family Dwelling,9/9/2014,90047,1,No,1 unit,1,2384,"(33.95771, -118.30049)"
120584,9/10/2014,2014,2013-17,Q3,9,Q3 2014,CofO Issued,13014-20000-05124,Bldg-Addition,1 or 2 Family Dwelling,9/10/2014,91402,1,No,1 unit,1,1201.05,"(34.22611, -118.4454)"
